time,mailly,moulin
0,10,5
1,10,5
2,10,5
3,10,5
4,10,5
5,10,5
6,10,5
7,10,5
8,10,5
9,10,5
10,10,5
11,10,5
12,10,5
13,10,5
14,10,5
15,10,5
16,10,5
17,10,5
18,10,5
19,10,5
20,10,5
21,10,5
22,10,5
23,10,5
24,10,5
25,10,5
26,10,5
27,10,5
28,10,5
29,10,5
30,10,5
31,10,5
32,10,5
33,10,5
34,10,5
35,10,5
36,10,5
37,10,5
38,10,5
39,10,5
40,10,5
41,10,5
42,10,5
43,10,5
44,10,5
45,10,5
46,10,5
47,10,5
48,10,5
49,10,5
50,10,5
51,10,5
52,10,5
53,10,5
54,10,5
55,10,5
56,10,5
57,10,5
58,10,5
59,10,5
60,10,5
61,10,5
62,10,5
63,10,5
64,10,5
65,10,5
66,10,5
67,10,5
68,10,5
69,10,5
70,10,5
71,10,5
72,10,5
73,10,5
74,10,5
75,10,5
76,10,5
77,10,5
78,10,5
79,10,5
80,10,5
81,10,5
82,10,5
83,10,5
84,10,5
85,10,5
86,10,5
87,10,5
88,10,5
89,10,5
90,10,5
91,10,5
92,10,5
93,10,5
94,10,5
95,10,5
96,10,5
97,10,5
98,10,5
99,10,5
100,10,5
101,10,5
102,10,5
103,10,5
104,10,5
105,10,5
106,10,5
107,10,5
108,10,5
109,10,5
110,10,5
111,10,5
112,10,5
113,10,5
114,10,5
115,10,5
116,10,5
117,10,5
118,10,5
119,10,5
120,10,5
121,10,5
122,10,5
123,10,5
124,10,5
125,10,5
126,10,5
127,10,5
128,10,5
129,10,5
130,10,5
131,10,5
132,10,5
133,10,5
134,10,5
135,10,5
136,10,5
137,10,5
138,10,5
139,10,5
140,10,5
141,10,5
142,10,5
143,10,5
144,10,5
145,10,5
146,10,5
147,10,5
148,10,5
149,10,5
150,10,5
151,10,5
152,10,5
153,10,5
154,10,5
155,10,5
156,10,5
157,10,5
158,10,5
159,10,5
160,10,5
161,10,5
162,10,5
163,10,5
164,10,5
165,10,5
166,10,5
167,10,5
168,10,5
169,10,5
170,10,5
171,10,5
172,10,5
173,10,5
174,10,5
175,10,5
176,10,5
177,10,5
178,10,5
179,10,5
180,10,5
181,10,5
182,10,5
183,10,5
184,10,5
185,10,5
186,10,5
187,10,5
188,10,5
189,10,5
190,10,5
191,10,5
192,10,5
193,10,5
194,10,5
195,10,5
196,10,5
197,10,5
198,10,5
199,10,5
200,10,5
201,10,5
202,10,5
203,10,5
204,10,5
205,10,5
206,10,5
207,10,5
208,10,5
209,10,5
210,10,5
211,10,5
212,10,5
213,10,5
214,10,5
215,10,5
216,10,5
217,10,5
218,10,5
219,10,5
220,10,5
221,10,5
222,10,5
223,10,5
224,10,5
225,10,5
226,10,5
227,10,5
228,10,5
229,10,5
230,10,5
231,10,5
232,10,5
233,10,5
234,10,5
235,10,5
236,10,5
237,10,5
238,10,5
239,10,5
240,10,5
241,10,5
242,10,5
243,10,5
244,10,5
245,10,5
246,10,5
247,10,5
248,10,5
249,10,5
250,10,5
251,10,5
252,10,5
253,10,5
254,10,5
255,10,5
256,10,5
257,10,5
258,10,5
259,10,5
260,10,5
261,10,5
262,10,5
263,10,5
264,10,5
265,10,5
266,10,5
267,10,5
268,10,5
269,10,5
270,10,5
271,10,5
272,10,5
273,10,5
274,10,5
275,10,5
276,10,5
277,10,5
278,10,5
279,10,5
280,10,5
281,10,5
282,10,5
283,10,5
284,10,5
285,10,5
286,10,5
287,10,5
288,10,5
